;filename;len_in_sec;sr;num_hops;OVRL_raw;SIG_raw;BAK_raw;OVRL;SIG;BAK;P808_MOS
1066;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f6_script2_iphone_livingroom1_voicefixer.wav;167.607125;16000;158;3.2174032;3.4497538;4.1172347;2.931711126287139;3.2140497580014613;3.9938036169966193;3.7418935
1067;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f8_script5_ipad_livingroom1_voicefixer.wav;159.3325625;16000;150;3.464356;3.6884184;4.2386723;3.0943394307800105;3.3614333779728707;4.054312690756625;3.770589
1068;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m4_script5_ipad_office1_voicefixer.wav;157.17475;16000;148;3.502129;3.7412293;4.246357;3.1192133246596767;3.394620485474913;4.0546034714942225;4.0111604
1069;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m5_script2_iphone_balcony1_voicefixer.wav;199.715125;16000;190;3.330203;3.5447774;4.2941866;3.005607775167523;3.2724625197166373;4.0804448244680245;3.7832341
1070;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f6_script5_ipad_confroom1_voicefixer.wav;138.796;16000;129;3.5576615;3.809062;4.225207;3.155596811013501;3.4348645936847686;4.047382911614363;3.8873274
1071;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m6_script3_iphone_bedroom1_voicefixer.wav;150.1314375;16000;141;3.6270385;3.835465;4.3436866;3.199442946204361;3.4498784376633225;4.106777482047849;3.806212
1072;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m9_script3_ipad_office2_voicefixer.wav;140.8970625;16000;131;3.5261643;3.763395;4.296231;3.13711487404184;3.4094961243558553;4.084208377559329;3.8665092
1073;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m8_script3_ipad_bedroom1_voicefixer.wav;178.5275;16000;169;3.4960237;3.7109969;4.279386;3.116518449285629;3.376335772768686;4.07662860019052;3.7239678
1074;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m5_script5_ipadflat_confroom1_voicefixer.wav;160.1548125;16000;151;3.5894005;3.8047369;4.340395;3.176677876205901;3.433185072872122;4.104575636230699;4.052695
1075;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m2_script1_iphone_balcony1_voicefixer.wav;165.1748125;16000;156;3.4648361;3.635674;4.3196273;3.094908395868526;3.3292159760521582;4.094815702253244;3.7383833
1076;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f7_script5_ipad_livingroom1_voicefixer.wav;163.784875;16000;154;3.422338;3.6937177;4.116626;3.0687718313500656;3.366652432079501;3.9915595991071102;3.627515
1077;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f9_script5_ipad_livingroom1_voicefixer.wav;141.3241875;16000;132;3.5732474;3.8099406;4.2582483;3.1649600454179687;3.434285826202236;4.064509971090773;3.9380713
1078;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f5_script4_ipad_confroom2_voicefixer.wav;122.347;16000;113;3.7433279;3.981702;4.3155103;3.268205486433771;3.5297095665511855;4.08953454412896;3.953371
1079;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f8_script2_ipadflat_confroom1_voicefixer.wav;179.2278125;16000;170;3.420448;3.633092;4.1926556;3.06596138105067;3.328095272250955;4.031608421299155;3.8498921
